# deltaRoads deltaRailVehicles
0 0
0 1
0 0
0 19
0 0
0 1
0 0
0 1
0 0
0 1
0 0
0 1
0 0
0 1
0 0
6 0
8 0
6 0
0 0
15 0
2 0
0 0
7 0
11 0
2 0
0 0
6 0
8 0
6 0
8 0
6 0
8 0
12 0
8 0
18 0
0 0
6 0
12 0
8 0
9 0
5 0
16 0
16 1
12 1
12 0
6 0
6 28
8 28
8 0
12 0
27 0
9 0
8 0
16 0
2 0
0 0
2 0
6 0
15 0
1 0
0 0
11 0
5 0
4 0
0 0
0 1
0 0
0 1
0 0
-2 0
-6 0
-8 0
0 0
6 0
9 0
7 0
8 0
10 0
12 0
8 0
12 0
10 0
9 0
15 0
16 0
14 0
16 0
12 0
10 0
8 0
20 0
2 0
0 0
12 0
8 0
12 0
16 0
10 0
8 0
12 0
8 0
6 0
16 0
27 0
15 0
6 0
8 0
12 0
12 1
8 1
8 0
6 0
0 0
0 10
5 10
5 0
35 0
0 0
6 0
12 0
6 0
32 0
0 0
